fib_event_id,event_type,event_time,impulse_id,correction_id,reason
FTE00047,correction_accepted,2019-11-05T00:00:00+00:00,SFI0037,SFC0047,fib_deadline_reached_without_new_parent_extreme
FTE00048,correction_accepted,2019-12-06T16:34:04.811001600+00:00,SFI0038,SFC0048,fib_deadline_reached_without_new_parent_extreme
FTE00049,correction_accepted,2020-02-29T08:28:19.200000+00:00,SFI0039,SFC0049,fib_deadline_reached_without_new_parent_extreme
FTE00050,correction_rejected,2020-03-13T00:00:00+00:00,SFI0040,SFC0050,new_parent_extreme_before_fib_deadline
FTE00051,correction_accepted,2020-05-26T04:03:50.400000+00:00,SFI0040,SFC0051,fib_deadline_reached_without_new_parent_extreme
FTE00052,correction_accepted,2020-05-21T16:00:00+00:00,SFI0041,SFC0052,fib_deadline_reached_without_new_parent_extreme
FTE00053,correction_accepted,2020-09-24T02:27:50.400000+00:00,SFI0042,SFC0053,fib_deadline_reached_without_new_parent_extreme
FTE00054,correction_accepted,2020-09-15T16:00:00+00:00,SFI0043,SFC0054,fib_deadline_reached_without_new_parent_extreme
FTE00055,correction_accepted,2021-01-18T12:00:00+00:00,SFI0044,SFC0055,fib_deadline_reached_without_new_parent_extreme
FTE00056,correction_rejected,2021-01-21T08:00:00+00:00,SFI0045,SFC0056,new_parent_extreme_before_fib_deadline
FTE00057,correction_accepted,2021-01-24T12:00:00+00:00,SFI0045,SFC0057,fib_deadline_reached_without_new_parent_extreme
FTE00058,correction_accepted,2021-02-01T00:00:00+00:00,SFI0046,SFC0058,fib_deadline_reached_without_new_parent_extreme
FTE00059,correction_rejected,2021-02-04T08:00:00+00:00,SFI0047,SFC0059,new_parent_extreme_before_fib_deadline
FTE00060,correction_accepted,2021-02-10T16:00:00+00:00,SFI0047,SFC0060,fib_deadline_reached_without_new_parent_extreme
FTE00061,correction_accepted,2021-03-03T16:00:00+00:00,SFI0048,SFC0061,fib_deadline_reached_without_new_parent_extreme
FTE00062,correction_accepted,2021-03-10T16:00:00+00:00,SFI0049,SFC0062,fib_deadline_reached_without_new_parent_extreme
FTE00063,correction_accepted,2021-03-23T20:00:00+00:00,SFI0050,SFC0063,fib_deadline_reached_without_new_parent_extreme
FTE00064,correction_accepted,2021-04-05T00:00:00+00:00,SFI0051,SFC0064,fib_deadline_reached_without_new_parent_extreme
FTE00065,correction_accepted,2021-04-24T04:00:00+00:00,SFI0052,SFC0065,fib_deadline_reached_without_new_parent_extreme
FTE00066,correction_accepted,2021-05-05T20:00:00+00:00,SFI0053,SFC0066,fib_deadline_reached_without_new_parent_extreme
FTE00067,correction_accepted,2021-05-20T04:00:00+00:00,SFI0054,SFC0067,fib_deadline_reached_without_new_parent_extreme
FTE00068,correction_accepted,2021-05-29T12:00:00+00:00,SFI0055,SFC0068,fib_deadline_reached_without_new_parent_extreme
FTE00069,correction_accepted,2021-05-31T00:00:00+00:00,SFI0056,SFC0069,fib_deadline_reached_without_new_parent_extreme
FTE00070,correction_accepted,2021-06-02T16:00:00+00:00,SFI0057,SFC0070,fib_deadline_reached_without_new_parent_extreme
FTE00071,correction_accepted,2021-06-05T08:00:00+00:00,SFI0058,SFC0071,fib_deadline_reached_without_new_parent_extreme
FTE00072,correction_accepted,2021-06-18T12:00:00+00:00,SFI0059,SFC0072,fib_deadline_reached_without_new_parent_extreme
FTE00073,correction_accepted,2021-06-25T16:00:00+00:00,SFI0060,SFC0073,fib_deadline_reached_without_new_parent_extreme
FTE00074,correction_accepted,2021-07-02T12:00:00+00:00,SFI0061,SFC0074,fib_deadline_reached_without_new_parent_extreme
FTE00075,correction_accepted,2021-07-09T16:00:00+00:00,SFI0062,SFC0075,fib_deadline_reached_without_new_parent_extreme
FTE00076,correction_accepted,2021-07-30T12:00:00+00:00,SFI0063,SFC0076,fib_deadline_reached_without_new_parent_extreme
FTE00077,correction_accepted,2021-08-05T00:00:00+00:00,SFI0064,SFC0077,fib_deadline_reached_without_new_parent_extreme
FTE00078,correction_accepted,2021-08-06T00:00:00+00:00,SFI0065,SFC0078,fib_deadline_reached_without_new_parent_extreme
FTE00079,correction_accepted,2021-09-23T01:03:21.600000+00:00,SFI0066,SFC0079,fib_deadline_reached_without_new_parent_extreme
FTE00080,correction_accepted,2021-10-01T20:00:00+00:00,SFI0067,SFC0080,fib_deadline_reached_without_new_parent_extreme
FTE00081,correction_accepted,2021-11-29T11:20:38.411001599+00:00,SFI0068,SFC0081,fib_deadline_reached_without_new_parent_extreme
FTE00082,correction_accepted,2022-02-22T03:36:00+00:00,SFI0069,SFC0082,fib_deadline_reached_without_new_parent_extreme
FTE00083,correction_accepted,2022-02-20T16:00:00+00:00,SFI0070,SFC0083,fib_deadline_reached_without_new_parent_extreme
FTE00084,correction_accepted,2022-03-06T04:00:00+00:00,SFI0071,SFC0084,fib_deadline_reached_without_new_parent_extreme
FTE00085,correction_accepted,2022-03-12T12:00:00+00:00,SFI0072,SFC0085,fib_deadline_reached_without_new_parent_extreme
FTE00086,correction_accepted,2022-03-23T20:00:00+00:00,SFI0073,SFC0086,fib_deadline_reached_without_new_parent_extreme
FTE00087,correction_accepted,2022-04-07T16:00:00+00:00,SFI0074,SFC0087,fib_deadline_reached_without_new_parent_extreme
FTE00088,correction_accepted,2022-05-29T03:58:33.600000+00:00,SFI0075,SFC0088,fib_deadline_reached_without_new_parent_extreme
FTE00089,correction_accepted,2022-06-10T16:00:00+00:00,SFI0076,SFC0089,fib_deadline_reached_without_new_parent_extreme
FTE00090,correction_accepted,2022-06-28T20:00:00+00:00,SFI0077,SFC0090,fib_deadline_reached_without_new_parent_extreme
FTE00091,correction_accepted,2022-09-05T20:06:14.411001600+00:00,SFI0078,SFC0091,fib_deadline_reached_without_new_parent_extreme
FTE00092,correction_accepted,2022-09-17T00:00:00+00:00,SFI0079,SFC0092,fib_deadline_reached_without_new_parent_extreme
FTE00093,correction_accepted,2022-09-23T12:00:00+00:00,SFI0080,SFC0093,fib_deadline_reached_without_new_parent_extreme
FTE00094,correction_accepted,2022-12-18T07:38:52.788998400+00:00,SFI0081,SFC0094,fib_deadline_reached_without_new_parent_extreme
FTE00095,correction_rejected,2023-03-14T12:00:00+00:00,SFI0082,SFC0095,new_parent_extreme_before_fib_deadline
FTE00096,correction_accepted,2023-03-20T08:00:00+00:00,SFI0082,SFC0096,fib_deadline_reached_without_new_parent_extreme
FTE00097,correction_accepted,2023-04-27T11:21:07.188998400+00:00,SFI0083,SFC0097,fib_deadline_reached_without_new_parent_extreme
FTE00098,correction_accepted,2023-07-09T01:56:38.411001600+00:00,SFI0084,SFC0098,fib_deadline_reached_without_new_parent_extreme
FTE00099,correction_accepted,2023-07-24T11:45:35.988998400+00:00,SFI0085,SFC0099,fib_deadline_reached_without_new_parent_extreme
FTE00100,correction_accepted,2023-10-04T19:36:28.811001599+00:00,SFI0086,SFC0100,fib_deadline_reached_without_new_parent_extreme
FTE00101,correction_accepted,2024-02-10T20:51:21.600000+00:00,SFI0087,SFC0101,fib_deadline_reached_without_new_parent_extreme
FTE00102,correction_accepted,2024-02-02T12:00:00+00:00,SFI0088,SFC0102,fib_deadline_reached_without_new_parent_extreme
FTE00103,correction_accepted,2024-04-02T12:30:43.211001600+00:00,SFI0089,SFC0103,fib_deadline_reached_without_new_parent_extreme
FTE00104,correction_accepted,2024-05-19T17:35:31.211001600+00:00,SFI0090,SFC0104,fib_deadline_reached_without_new_parent_extreme
FTE00105,correction_accepted,2024-06-21T16:44:38.411001600+00:00,SFI0091,SFC0105,fib_deadline_reached_without_new_parent_extreme
FTE00106,correction_accepted,2024-07-15T17:38:52.811001600+00:00,SFI0092,SFC0106,fib_deadline_reached_without_new_parent_extreme
FTE00107,correction_accepted,2024-08-08T12:00:00+00:00,SFI0093,SFC0107,fib_deadline_reached_without_new_parent_extreme
FTE00108,correction_accepted,2024-08-15T04:00:00+00:00,SFI0094,SFC0108,fib_deadline_reached_without_new_parent_extreme
FTE00109,correction_accepted,2024-09-04T20:00:00+00:00,SFI0095,SFC0109,fib_deadline_reached_without_new_parent_extreme
FTE00110,correction_accepted,2024-09-18T16:00:00+00:00,SFI0096,SFC0110,fib_deadline_reached_without_new_parent_extreme
FTE00111,correction_rejected,2025-01-20T04:00:00+00:00,SFI0097,SFC0111,new_parent_extreme_before_fib_deadline
FTE00112,correction_rejected,2025-03-10T16:00:00+00:00,SFI0097,SFC0112,new_parent_extreme_before_fib_deadline
FTE00113,correction_accepted,2025-03-12T16:00:00+00:00,SFI0097,SFC0113,fib_deadline_reached_without_new_parent_extreme
FTE00114,correction_accepted,2025-04-20T17:27:50.400000+00:00,SFI0098,SFC0114,fib_deadline_reached_without_new_parent_extreme
FTE00115,correction_accepted,2025-12-15T09:09:36+00:00,SFI0099,SFC0115,fib_deadline_reached_without_new_parent_extreme
FTE00116,correction_accepted,2025-12-09T00:11:59.988998400+00:00,SFI0100,SFC0116,fib_deadline_reached_without_new_parent_extreme
FTE00117,correction_accepted,2026-02-04T14:07:40.788998400+00:00,SFI0101,SFC0117,fib_deadline_reached_without_new_parent_extreme
FTE00118,correction_accepted,2026-02-16T00:00:00+00:00,SFI0102,SFC0118,fib_deadline_reached_without_new_parent_extreme
